BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	COUNTRY	use_species
PRJNA690558	SRR13394204	WGS	301	13593834040	SAMN17251346	5913173460	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813490	Illumina NovaSeq 6000	LGIA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	LGIA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	LGIA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394206	WGS	302	4161078914	SAMN17251344	1764155503	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813488	Illumina NovaSeq 6000	GNYA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GNYA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GNYA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394208	WGS	302	10830744686	SAMN17251342	4393037192	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813486	Illumina NovaSeq 6000	GEOA6	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA6	not applicable	not applicable	NA	1
PRJNA690558	SRR13394209	WGS	301	9645879878	SAMN17251341	4040183301	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813485	Illumina NovaSeq 6000	GEOA5	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA5	not applicable	not applicable	NA	1
PRJNA690558	SRR13394210	WGS	302	9660584682	SAMN17251340	4017511490	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813484	Illumina NovaSeq 6000	GEOA4	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA4	not applicable	not applicable	NA	1
PRJNA690558	SRR13394211	WGS	302	6065053316	SAMN17251339	2739173734	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813483	Illumina NovaSeq 6000	GEOA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA2	not applicable	not applicable	NA	1
PRJNA690558	SRR13394213	WGS	302	4432731840	SAMN17251338	1772710174	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813481	Illumina NovaSeq 6000	GEOA11	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA11	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA11	not applicable	not applicable	NA	1
PRJNA690558	SRR13394214	WGS	302	9395965034	SAMN17251337	3734842373	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813480	Illumina NovaSeq 6000	GEOA10	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA10	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA10	not applicable	not applicable	NA	1
PRJNA690558	SRR13394215	WGS	302	8396620458	SAMN17251336	3763599750	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813479	Illumina NovaSeq 6000	GEOA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEOA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394216	WGS	302	11102575792	SAMN17251335	3457985934	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813478	Illumina NovaSeq 6000	GEO2A9	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A9	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A9	not applicable	not applicable	NA	1
