BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	dangling_references (run)	use_species
PRJEB11502	ERR1097507	WGS	200	21011633200	SAMEA3638001	8216286032	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177041	Illumina HiSeq 2000	u003_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638001	ERP012899	NA	ERS945150	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945150	u003	u003	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097508	WGS	200	26171521200	SAMEA3638017	10360473318	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177042	Illumina HiSeq 2000	u004_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638017	ERP012899	NA	ERS945166	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945166	u004	u004	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097509	WGS	200	27474860000	SAMEA3637999	10992356184	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177043	Illumina HiSeq 2000	u005_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637999	ERP012899	NA	ERS945148	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945148	u005	u005	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097510	WGS	200	24487880200	SAMEA3638002	9958429786	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177044	Illumina HiSeq 2000	u007_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638002	ERP012899	NA	ERS945151	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945151	u007	u007	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097511	WGS	200	21506064400	SAMEA3638013	8896220984	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177045	Illumina HiSeq 2000	u010_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638013	ERP012899	NA	ERS945162	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945162	u010	u010	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097512	WGS	200	22130098200	SAMEA3638012	9062731523	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177046	Illumina HiSeq 2000	u011_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638012	ERP012899	NA	ERS945161	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945161	u011	u011	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097513	WGS	200	26424802400	SAMEA3638019	10541470242	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177047	Illumina HiSeq 2000	u012_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638019	ERP012899	NA	ERS945168	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945168	u012	u012	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097514	WGS	200	30223109400	SAMEA3638011	12240255368	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177048	Illumina HiSeq 2000	u013_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638011	ERP012899	NA	ERS945160	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945160	u013	u013	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097515	WGS	200	32937773400	SAMEA3638020	13573005259	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177049	Illumina HiSeq 2000	u014_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638020	ERP012899	NA	ERS945169	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945169	u014	u014	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097516	WGS	200	31872141800	SAMEA3638000	13050478949	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177050	Illumina HiSeq 2000	u016_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638000	ERP012899	NA	ERS945149	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945149	u016	u016	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
