Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Parus_major	PRJNA274877	SAMN03333188	3918	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333190	5226	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333191	5236	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333193	5332	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333194	5333	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333195	13924	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333196	13938	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333197	13995	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333198	13996	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333199	11555	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333200	11556	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333201	11557	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333202	11564	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333203	15078	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333204	15081	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333205	15100	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333206	15110	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333207	15111	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333208	17252	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333209	8204	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333210	8236	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333211	10076	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333212	10635	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333214	10637	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333215	10732	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333216	10860	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333217	11929	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333218	11944	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333219	12003	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333189	4000	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333192	5242	missing	NA	missing
Parus_major	PRJNA274877	SAMN03333213	10636	missing	NA	missing
Parus_major	PRJNA304164	SAMN04296347	1198	female	1198	NA
Parus_major	PRJNA304164	SAMN04296348	973	male	973	NA
Parus_major	PRJNA304164	SAMN04296349	477	male	477	NA
Parus_major	PRJNA304164	SAMN04296350	935	male	935	NA
Parus_major	PRJNA304164	SAMN04296351	52	male	52	NA
Parus_major	PRJNA304164	SAMN04296352	731	male	731	NA
Parus_major	PRJNA304164	SAMN04296353	770	male	770	NA
Parus_major	PRJNA304164	SAMN04296354	317	male	317	NA
Parus_major	PRJNA304164	SAMN04296355	896	male	896	NA
Parus_major	PRJNA304164	SAMN04296356	233	female	233	NA
Parus_major	PRJNA304164	SAMN04296357	906	male	906	NA
Parus_major	PRJNA304164	SAMN04296358	823	male	823	NA
Parus_major	PRJNA304164	SAMN04296359	11	male	11	NA
Parus_major	PRJNA304164	SAMN04296360	1387	female	1387	NA
Parus_major	PRJNA304164	SAMN04296361	1376	female	1376	NA
Parus_major	PRJNA304164	SAMN04296362	235	male	235	NA
Parus_major	PRJNA304164	SAMN04296363	1280	male	1280	NA
Parus_major	PRJNA304164	SAMN04296364	1235	male	1235	NA
Parus_major	PRJNA304164	SAMN04296365	105	male	105	NA
Parus_major	PRJNA304164	SAMN04296376	836	male	836	NA
Parus_major	PRJNA304164	SAMN04296366	TL38228	male	TL38228	NA
Parus_major	PRJNA304164	SAMN04296367	TL38138	male	TL38138	NA
Parus_major	PRJNA304164	SAMN04296368	TL38197	male	TL38197	NA
Parus_major	PRJNA304164	SAMN04296369	TL38174	female	TL38174	NA
Parus_major	PRJNA304164	SAMN04296370	TL38215	male	TL38215	NA
Parus_major	PRJNA304164	SAMN04296371	TL38187	female	TL38187	NA
Parus_major	PRJNA304164	SAMN04296372	TL39629	male	TL39629	NA
Parus_major	PRJNA304164	SAMN04296373	TL39600	female	TL39600	NA
Parus_major	PRJNA304164	SAMN04296374	TL39399	male	TL39399	NA
Parus_major	PRJNA304164	SAMN04296375	TL39490	female	TL39490	NA
