BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	common_name	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	External_Id	Submitter_Id
PRJEB38173	ERR4189793	WGS	300	25217364600	SAMEA6815782	10413626730	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151562	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815782	ERP121562	missing	AsL_cit_d_nlp_02341_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:32Z	public	ERS4543422	Midas cichlid - WGS data	SAMEA6815782	AsL_cit_d_nlp_02341_WGS
PRJEB38173	ERR4189827	WGS	300	21263856900	SAMEA6815816	9891271022	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151596	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815816	ERP121562	missing	Aye_cit_d_lip_00718_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:32Z	public	ERS4543456	Midas cichlid - WGS data	SAMEA6815816	Aye_cit_d_lip_00718_WGS
PRJEB38173	ERR4190032	WGS	300	19099320900	SAMEA6816021	8768007669	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151801	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6816021	ERP121562	missing	Xil_ama_d_ben_13637_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:34Z	public	ERS4543661	Midas cichlid - WGS data	SAMEA6816021	Xil_ama_d_ben_13637_WGS
PRJEB38173	ERR4190111	WGS	300	19749969300	SAMEA6816100	9297863446	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151880	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6816100	ERP121562	missing	Xil_xil_g_ben_03841_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:35Z	public	ERS4543740	Midas cichlid - WGS data	SAMEA6816100	Xil_xil_g_ben_03841_WGS
PRJEB38173	ERR4189926	WGS	300	30879123300	SAMEA6815915	12341899660	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151695	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815915	ERP121562	missing	Mas_cit_d_nlp_03889_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:33Z	public	ERS4543555	Midas cichlid - WGS data	SAMEA6815915	Mas_cit_d_nlp_03889_WGS
PRJEB38173	ERR4189665	WGS	300	20589223800	SAMEA6815653	9795206638	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151434	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815653	ERP121562	missing	Apo_cl2_d_ben_01074_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543294	Midas cichlid - WGS data	SAMEA6815653	Apo_cl2_d_ben_01074_WGS
PRJEB38173	ERR4189666	WGS	300	19540610700	SAMEA6815654	8878627712	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151435	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815654	ERP121562	missing	Apo_cl2_d_ben_01076_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543295	Midas cichlid - WGS data	SAMEA6815654	Apo_cl2_d_ben_01076_WGS
PRJEB38173	ERR4189667	WGS	300	19230909000	SAMEA6815655	8926587255	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151436	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815655	ERP121562	missing	Apo_cl2_d_ben_01100_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543296	Midas cichlid - WGS data	SAMEA6815655	Apo_cl2_d_ben_01100_WGS
PRJEB38173	ERR4189669	WGS	300	19756880400	SAMEA6815657	9481452445	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151438	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815657	ERP121562	missing	Apo_cl2_d_ben_01102_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543298	Midas cichlid - WGS data	SAMEA6815657	Apo_cl2_d_ben_01102_WGS
PRJEB38173	ERR4189670	WGS	300	16928562900	SAMEA6815658	7925031027	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151439	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815658	ERP121562	missing	Apo_cl2_d_ben_01103_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543299	Midas cichlid - WGS data	SAMEA6815658	Apo_cl2_d_ben_01103_WGS
PRJEB38173	ERR4189671	WGS	300	30103645500	SAMEA6815659	11424031853	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151440	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815659	ERP121562	missing	Apo_cl2_d_ben_03979_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543300	Midas cichlid - WGS data	SAMEA6815659	Apo_cl2_d_ben_03979_WGS
PRJEB38173	ERR4189672	WGS	300	29976272400	SAMEA6815660	12518032870	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151441	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815660	ERP121562	missing	Apo_cl2_d_ben_07674_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543301	Midas cichlid - WGS data	SAMEA6815660	Apo_cl2_d_ben_07674_WGS
PRJEB38173	ERR4189673	WGS	300	30246167400	SAMEA6815661	12702918892	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151442	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815661	ERP121562	missing	Apo_cl2_d_ben_07682_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543302	Midas cichlid - WGS data	SAMEA6815661	Apo_cl2_d_ben_07682_WGS
PRJEB38173	ERR4189674	WGS	300	31830925200	SAMEA6815662	12913778725	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151443	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815662	ERP121562	missing	Apo_cl2_d_ben_07683_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543303	Midas cichlid - WGS data	SAMEA6815662	Apo_cl2_d_ben_07683_WGS
PRJEB38173	ERR4189675	WGS	300	22306235700	SAMEA6815663	10112440680	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151444	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815663	ERP121562	missing	Apo_cl2_d_ben_12407_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543304	Midas cichlid - WGS data	SAMEA6815663	Apo_cl2_d_ben_12407_WGS
PRJEB38173	ERR4189676	WGS	300	20147119200	SAMEA6815664	8929288615	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151445	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815664	ERP121562	missing	Apo_cl2_d_ben_12451_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543305	Midas cichlid - WGS data	SAMEA6815664	Apo_cl2_d_ben_12451_WGS
PRJEB38173	ERR4189677	WGS	300	17305079100	SAMEA6815665	8090888830	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151446	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815665	ERP121562	missing	Apo_cl2_d_ben_12494_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543306	Midas cichlid - WGS data	SAMEA6815665	Apo_cl2_d_ben_12494_WGS
PRJEB38173	ERR4189678	WGS	300	20263453200	SAMEA6815666	9055346420	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151447	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815666	ERP121562	missing	Apo_cl2_d_ben_12521_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543307	Midas cichlid - WGS data	SAMEA6815666	Apo_cl2_d_ben_12521_WGS
PRJEB38173	ERR4189679	WGS	300	16762098600	SAMEA6815667	7854529819	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151448	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815667	ERP121562	missing	Apo_cl2_d_ben_13695_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543308	Midas cichlid - WGS data	SAMEA6815667	Apo_cl2_d_ben_13695_WGS
PRJEB38173	ERR4189680	WGS	300	18214966200	SAMEA6815669	7960184730	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151449	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815669	ERP121562	missing	Apo_cl2_d_ben_13727_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543309	Midas cichlid - WGS data	SAMEA6815669	Apo_cl2_d_ben_13727_WGS
PRJEB38173	ERR4189681	WGS	300	20235891000	SAMEA6815670	9769546041	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151450	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815670	ERP121562	missing	Apo_cl2_d_ben_13732_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543310	Midas cichlid - WGS data	SAMEA6815670	Apo_cl2_d_ben_13732_WGS
PRJEB38173	ERR4189682	WGS	300	28563187800	SAMEA6815671	12404233298	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151451	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815671	ERP121562	missing	Apo_cl2_d_ben_18030_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543311	Midas cichlid - WGS data	SAMEA6815671	Apo_cl2_d_ben_18030_WGS
PRJEB38173	ERR4189683	WGS	300	30310561500	SAMEA6815672	11761901688	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151452	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815672	ERP121562	missing	Apo_cl2_d_ben_18449_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543312	Midas cichlid - WGS data	SAMEA6815672	Apo_cl2_d_ben_18449_WGS
PRJEB38173	ERR4189685	WGS	300	30080259300	SAMEA6815674	11912201674	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151454	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815674	ERP121562	missing	Apo_cl2_d_ben_19361_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543314	Midas cichlid - WGS data	SAMEA6815674	Apo_cl2_d_ben_19361_WGS
PRJEB38173	ERR4189686	WGS	300	38755687800	SAMEA6815675	16510702717	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151455	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815675	ERP121562	missing	Apo_cl2_d_ben_19362_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543315	Midas cichlid - WGS data	SAMEA6815675	Apo_cl2_d_ben_19362_WGS
PRJEB38173	ERR4189687	WGS	300	18723493500	SAMEA6815676	8505050378	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151456	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815676	ERP121562	missing	Apo_cl2_g_ben_18446_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543316	Midas cichlid - WGS data	SAMEA6815676	Apo_cl2_g_ben_18446_WGS
PRJEB38173	ERR4189688	WGS	NA	NA	SAMEA6815677	NA	UNIVERSITY OF KONSTANZ	public	NA	NA	NA	ERX4151457	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815677	ERP121562	missing	Apo_cl3_d_ben_01234_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543317	Midas cichlid - WGS data	SAMEA6815677	Apo_cl3_d_ben_01234_WGS
PRJEB38173	ERR4189689	WGS	300	19420129800	SAMEA6815678	8575136381	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151458	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815678	ERP121562	missing	Apo_cl3_d_ben_03977_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:30Z	public	ERS4543318	Midas cichlid - WGS data	SAMEA6815678	Apo_cl3_d_ben_03977_WGS
PRJEB38173	ERR4189691	WGS	300	20458657200	SAMEA6815680	9472485257	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151460	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815680	ERP121562	missing	Apo_cl3_d_ben_05664_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:31Z	public	ERS4543320	Midas cichlid - WGS data	SAMEA6815680	Apo_cl3_d_ben_05664_WGS
PRJEB38173	ERR4189693	WGS	300	23140568100	SAMEA6815682	10755797567	UNIVERSITY OF KONSTANZ	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX4151462	HiSeq X Ten	unspecified	PAIRED	unspecified	GENOMIC	Amphilophus_citrinellus	ILLUMINA	2020-07-13T00:00:00Z	SAMEA6815682	ERP121562	missing	Apo_cl3_d_ben_05666_WGS	2020-07-12	2020-06-02	2020-07-12	2020-05-06	Midas cichlid	UNIVERSITY OF KONSTANZ	UNIVERSITY OF KONSTANZ	2020-07-12T04:06:18Z	2020-05-06T13:45:31Z	public	ERS4543322	Midas cichlid - WGS data	SAMEA6815682	Apo_cl3_d_ben_05666_WGS
