Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	sub_species	Isolate	BioSampleModel	strain	lat_lon	collected_by	Host	Isolation_source	Host_disease
SRR12495813	WGS	499	359257047	PRJNA421972	SAMN08235571	216156892	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987332	Illumina MiSeq	CjRM13131	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM13131	SRP278481	missing	2010-07	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM13131	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495814	WGS	491	266000351	PRJNA421972	SAMN08235569	148461742	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987331	Illumina MiSeq	CjRM12787	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM12787	SRP278481	missing	2010-07	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM12787	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495815	WGS	491	290377481	PRJNA421972	SAMN08235568	155259100	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987330	Illumina MiSeq	CjRM10697	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM10697	SRP278481	missing	2009-12	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM10697	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495816	WGS	499	273963593	PRJNA421972	SAMN08235567	146536065	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987329	Illumina MiSeq	CjRM9988	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9988	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9988	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495817	WGS	495	329843634	PRJNA421972	SAMN08235566	174959868	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987328	Illumina MiSeq	CjRM9987	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9987	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9987	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495818	WGS	497	376913190	PRJNA421972	SAMN08235565	198231590	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987327	Illumina MiSeq	CjRM9928	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9928	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9928	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495819	WGS	497	381142672	PRJNA421972	SAMN08235564	201810294	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987326	Illumina MiSeq	CjRM9927	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9927	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9927	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495820	WGS	497	328644507	PRJNA421972	SAMN08235563	182923195	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987325	Illumina MiSeq	CjRM9926	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9926	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9926	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495821	WGS	497	306756901	PRJNA421972	SAMN08235562	167911532	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987324	Illumina MiSeq	CjRM9925	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9925	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9925	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495823	WGS	496	273796061	PRJNA421972	SAMN08235561	147708540	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987322	Illumina MiSeq	CjRM9924	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9924	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9924	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
