Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sex	SRA Study	tissue	Biomaterial_provider	lat_lon	Specimen_voucher	collected_by	sub_species
SRR6026668	WGS	202	17174486016	PRJNA406821	SAMN07629893	Model organism or animal	9719746159	"UNIVERSITY OF CALIFORNIA, BERKELEY"	12/18/02	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3177129	USA	North America	"USA: Northeastern Indianapolis\, Marion County\, Indiana"	Illumina HiSeq 2500	not applicable	MEF457_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia varia	ILLUMINA	2017-09-23T00:00:00Z	MEF457	male	SRP117279	liver		39.76833 N 86.15806 W	CAS:ORN:95964	J. D. Webster	varia
SRR6032894	WGS	300	726751200	PRJNA406821	SAMN07637313	Model organism or animal	430958971	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182949	USA	North America	"USA: Chandler Glade III site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MEF432_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97174	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8493252778 N 122.2460336111 W	CAS:ORN:97174	B. Woodbridge	
SRR6032895	WGS	300	687700500	PRJNA406821	SAMN07637313	Model organism or animal	411926598	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182948	USA	North America	"USA: Chandler Glade III site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MEF432_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97174	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8493252778 N 122.2460336111 W	CAS:ORN:97174	B. Woodbridge	
SRR6032896	WGS	300	1680538200	PRJNA406821	SAMN07637314	Model organism or animal	1013224471	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182947	USA	North America	"USA: Chandler Glade\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MEF435_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97177	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8582097222 N 122.2604588889 W	CAS:ORN:97177	B. Woodbridge	
SRR6032897	WGS	300	1693054500	PRJNA406821	SAMN07637314	Model organism or animal	1022135452	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182946	USA	North America	"USA: Chandler Glade\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MEF435_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97177	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8582097222 N 122.2604588889 W	CAS:ORN:97177	B. Woodbridge	
SRR6032898	WGS	300	103366500	PRJNA406821	SAMN07637317	Model organism or animal	63867668	"UNIVERSITY OF CALIFORNIA, BERKELEY"	7/28/05	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182945	USA	North America	"USA: Black Rock\, 41.8506126404\, -122.2617187500\, 1839.0 m\, Chandler Glade\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MK968_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92979	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8506126404 N 122.2617187500 W	CAS:ORN:92979	J. P. Dumbacher	
SRR6032899	WGS	300	103701600	PRJNA406821	SAMN07637317	Model organism or animal	64108794	"UNIVERSITY OF CALIFORNIA, BERKELEY"	7/28/05	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182944	USA	North America	"USA: Black Rock\, 41.8506126404\, -122.2617187500\, 1839.0 m\, Chandler Glade\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MK968_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92979	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8506126404 N 122.2617187500 W	CAS:ORN:92979	J. P. Dumbacher	
SRR6032900	WGS	300	335213700	PRJNA406821	SAMN07637261	Model organism or animal	200507246	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/16/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182943	USA	North America	"USA: UTM zone 10\, NAD83\, 436575E 4552050N\, Territory #2028\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20005_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97815	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.119 N 123.75662 W	CAS:ORN:97815	J. Mark Higley	
SRR6032901	WGS	300	200571900	PRJNA406821	SAMN07637262	Model organism or animal	116987231	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/23/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182942	USA	North America	"USA: UTM zone 10\, NAD83\, 436085E 4550786N\, Territory #2026\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20011_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97818	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.10758 N 123.76232 W	CAS:ORN:97818	J. Mark Higley	
SRR6032902	WGS	300	301919400	PRJNA406821	SAMN07637257	Model organism or animal	180347556	"UNIVERSITY OF CALIFORNIA, BERKELEY"	5/29/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182941	USA	North America	"USA: Lupton Creek.\, 40.9088897705\, -123.8319473267\, 426.0 m\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	ASG017_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95477	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.9088897705 N 123.8319473267 W	CAS:ORN:95477	J. P. Dumbacher	
