BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Ecotype	lat_lon
PRJNA387728	SRR5627608	WGS	121	2214908789	SAMN07162959	1895568323	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2868141	Illumina HiSeq 2000	North	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	North	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	49.748275 N 123.9703 W
PRJNA387728	SRR5627609	WGS	200	5787283000	SAMN07162958	3929555280	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2868140	Illumina HiSeq 2000	Klein	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Klein	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.730087 N 123.9686 W
PRJNA387728	SRR5628154	WGS	202	4223069974	SAMN07162962	2998902392	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2868680	Illumina HiSeq 2000	Paq	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Paq	SRP108037	Model organism or animal	male	fin	Adult	sculpin lake	49.613543 N 124.0229 W
PRJNA387728	SRR5628155	WGS	200	6055777000	SAMN07162961	4098083576	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2868679	Illumina HiSeq 2000	Pachena	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Pachena	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	48.838338 N 125.0290 W
PRJNA387728	SRR5629168	WGS	202	4818444370	SAMN07162963	3021855281	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869651	Illumina HiSeq 2000	Rosseau	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Rosseau	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	48.830345 N 124.9927 W
PRJNA387728	SRR5629276	WGS	200	5787283000	SAMN07162958	3929555280	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869734	Illumina HiSeq 2000	Klein	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Klein	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.730087 N 123.9686 W
PRJNA387728	SRR5629435	WGS	200	3949058000	SAMN07162968	2675532557	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869803	Illumina HiSeq 2000	Little_Campbell_River	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Little Campbell River	SRP108037	Model organism or animal	female	fin	Adult	marine	49.014982 N 122.7725 W
PRJNA387728	SRR5629437	WGS	202	4922826456	SAMN07162959	3533581687	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869801	Illumina HiSeq 2000	North	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	North	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	49.748275 N 123.9703 W
PRJNA387728	SRR5629697	WGS	202	983360240	SAMN07162970	625885465	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869972	Illumina HiSeq 2000	Salmon_River	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Salmon River	SRP108037	Model organism or animal	female	fin	Adult	marine	49.175163 N 122.5943 W
PRJNA387728	SRR5620469	WGS	205	4304270050	SAMN07162971	2919941904	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864010	Illumina HiSeq 2000	Seyward_Estuary	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Seyward Estuary	SRP108037	Model organism or animal	female	fin	Adult	marine	50.373634 N 125.9295 W
