Run	Alias	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Description	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_name	sex	SRA_accession	SRA Study	Title
ERR117155	COLL_1	OTHER	160	9511111200	PRJEB2984	SAMEA1570901	6162698566	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093469	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_1_PE-18000	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570901	ERS129493	male	ERS129493	ERP001377	COLL_1
ERR117156	COLL_1	OTHER	160	9244444480	PRJEB2984	SAMEA1570901	6187838360	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093470	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_1_PE-21000	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570901	ERS129493	male	ERS129493	ERP001377	COLL_1
ERR117157	COLL_1	OTHER	160	9066666720	PRJEB2984	SAMEA1570901	6063057187	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093471	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_1_PE-21000	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570901	ERS129493	male	ERS129493	ERP001377	COLL_1
ERR117158	COLL_1	OTHER	300	8026653600	PRJEB2984	SAMEA1570901	5349797710	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093472	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_1_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570901	ERS129493	male	ERS129493	ERP001377	COLL_1
ERR117165	COLL_2	OTHER	70	2755393900	PRJEB2984	SAMEA1570884	2328300959	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093479	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_PE-2400	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR117171	COLL_2	OTHER	218	5507038174	PRJEB2984	SAMEA1570884	3724887075	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093485	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_PE-388	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR117189	COLL_2	OTHER	200	6113130000	PRJEB2984	SAMEA1570884	4276011158	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093503	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_2_PE-527	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR117200	COLL_32	OTHER	280	5843948320	PRJEB2984	SAMEA1570868	3811182309	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093514	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_32_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570868	ERS129499	male	ERS129499	ERP001377	COLL_32
ERR117214	COLL_5	OTHER	300	7322050800	PRJEB2984	SAMEA1570881	4820465976	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093528	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_5_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570881	ERS129497	male	ERS129497	ERP001377	COLL_5
ERR117215	PIED_11	OTHER	300	11150054700	PRJEB2984	SAMEA1570878	7513193720	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093529	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:20Z	public	Illumina Genome Analyzer IIx	PIED_11_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570878	ERS129503	male	ERS129503	ERP001377	PIED_11
