BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	Isolate	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	ref_biomaterial	env_biome	env_feature	env_material	use_species
PRJDB1657	DRR084053	WGS	200	5119982600	SAMD00023995	4102630924	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077884	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00023995	DRP003419	MIGS.eu	TR1	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR1	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084055	WGS	200	4869998800	SAMD00023997	3922666617	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077886	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00023997	DRP003419	MIGS.eu	TR103	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR103	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084056	WGS	200	7008122600	SAMD00023998	5415960696	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077887	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00023998	DRP003419	MIGS.eu	TR104	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR104	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084057	WGS	200	6625965400	SAMD00023999	5298453444	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077888	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00023999	DRP003419	MIGS.eu	TR106	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR106	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084058	WGS	200	6080897000	SAMD00024000	4883000330	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077889	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024000	DRP003419	MIGS.eu	TR107	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR107	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084059	WGS	200	6239711400	SAMD00024001	4830397700	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077890	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024001	DRP003419	MIGS.eu	TR109	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR109	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084061	WGS	200	7584901400	SAMD00024003	6090574017	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077892	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024003	DRP003419	MIGS.eu	TR111	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR111	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084062	WGS	200	6074955400	SAMD00024004	4882656956	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077893	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024004	DRP003419	MIGS.eu	TR113	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR113	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084063	WGS	200	6386093600	SAMD00024005	5128074002	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077894	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024005	DRP003419	MIGS.eu	TR114	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR114	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084069	WGS	200	6075946200	SAMD00024011	4861764099	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077900	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024011	DRP003419	MIGS.eu	TR2	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR2	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
