BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Biomaterial_provider	Collection_date	Sample_Type	use_species
PRJNA338612	SRR5410387	WGS	299	396862069	SAMN05589107	175737370	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702505	Illumina HiSeq 2500	PH6.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH6	SRP102201	Model organism or animal	missing	Muscle	Individual PH6	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410389	WGS	299	229273921	SAMN05589105	102461182	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702507	Illumina HiSeq 2500	PH4.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH4	SRP102201	Model organism or animal	missing	Muscle	Individual PH4	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410390	WGS	299	112369076	SAMN05589104	49479199	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702508	Illumina HiSeq 2500	PH3.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH3	SRP102201	Model organism or animal	missing	Muscle	Individual PH3	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410391	WGS	299	268799272	SAMN05589103	119178877	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702509	Illumina HiSeq 2500	PH2.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH2	SRP102201	Model organism or animal	missing	Muscle	Individual PH2	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410392	WGS	299	301812296	SAMN05589102	132956526	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702510	Illumina HiSeq 2500	PH1.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH1	SRP102201	Model organism or animal	missing	Muscle	Individual PH1	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410393	WGS	299	99694113	SAMN05589101	47259527	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702511	Illumina HiSeq 2500	CA-6B.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NsSB	SRP102201	Model organism or animal	missing	Muscle	Individual CA-6B	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410394	WGS	299	135629054	SAMN05589100	62964494	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702512	Illumina HiSeq 2500	CA-6A.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NsSA	SRP102201	Model organism or animal	missing	Muscle	Individual CA-6A	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410395	WGS	299	117348100	SAMN05589099	55165377	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702513	Illumina HiSeq 2500	CA-5B.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NsFB	SRP102201	Model organism or animal	missing	Muscle	Individual CA-5B	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410396	WGS	299	283156588	SAMN05589098	126628692	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702514	Illumina HiSeq 2500	CA-5A.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NsFA	SRP102201	Model organism or animal	missing	Muscle	Individual CA-5A	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410398	WGS	299	191724045	SAMN05589096	88001929	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702516	Illumina HiSeq 2500	CA-4A.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	InBA	SRP102201	Model organism or animal	missing	Muscle	Individual CA-4A	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410400	WGS	299	463931284	SAMN05589094	201978656	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702518	Illumina HiSeq 2500	CA-3A.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	GeBA	SRP102201	Model organism or animal	missing	Muscle	Individual CA-3A	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410401	WGS	299	394353114	SAMN05589093	173277120	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702519	Illumina HiSeq 2500	CA-2B.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	FBB	SRP102201	Model organism or animal	missing	Muscle	Individual CA-2B	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410404	WGS	299	353300137	SAMN05589090	157874038	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702523	Illumina HiSeq 2500	CA-1A.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BoBA	SRP102201	Model organism or animal	missing	Muscle	Individual CA-1A	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410405	WGS	249	62625178	SAMN05589089	28714652	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702524	Illumina HiSeq 2500	NS3.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NS3	SRP102201	Model organism or animal	missing	Muscle	Individual NS3	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410406	WGS	249	75485173	SAMN05589088	32970400	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702525	Illumina HiSeq 2500	NS2.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NS2	SRP102201	Model organism or animal	missing	Muscle	Individual NS2	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410409	WGS	249	64560133	SAMN05589085	31815934	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702528	Illumina HiSeq 2500	BAH2.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BAH2	SRP102201	Model organism or animal	missing	Muscle	Individual BAH2	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410410	WGS	249	211022544	SAMN05589084	98823228	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702529	Illumina HiSeq 2500	BAH1.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BAH1	SRP102201	Model organism or animal	missing	Muscle	Individual BAH1	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410411	WGS	249	193556203	SAMN05589083	87863183	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702530	Illumina HiSeq 2500	BF3.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BF3	SRP102201	Model organism or animal	missing	Muscle	Individual BF3	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410412	WGS	249	217507015	SAMN05589082	94793703	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702531	Illumina HiSeq 2500	BF2.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BF2	SRP102201	Model organism or animal	missing	Muscle	Individual BF2	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410413	WGS	249	309312228	SAMN05589081	131364609	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702532	Illumina HiSeq 2500	BF1.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BF1	SRP102201	Model organism or animal	missing	Muscle	Individual BF1	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5362785	WGS	252	55836964260	SAMN05589080	27626998347	DALHOUSIE UNIVERSITY (ANGELA FUENTES) AND UPPSALA UNIVERSITY (SANGEET LAMICHHANEY)	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2658466	Illumina HiSeq 2500	CA-6p	PAIRED	other	GENOMIC	Clupea_harengus	ILLUMINA	2017-03-24T00:00:00Z	NsS	SRP102201	Model organism or animal	missing	Muscle	Population CA-6p	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Pooled DNA	1
PRJNA338612	SRR5362786	WGS	252	58050844236	SAMN05589079	29221441757	DALHOUSIE UNIVERSITY (ANGELA FUENTES) AND UPPSALA UNIVERSITY (SANGEET LAMICHHANEY)	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2658467	Illumina HiSeq 2500	CA-5p	PAIRED	other	GENOMIC	Clupea_harengus	ILLUMINA	2017-03-24T00:00:00Z	NsF	SRP102201	Model organism or animal	missing	Muscle	Population CA-5p	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Pooled DNA	1
PRJNA338612	SRR5362787	WGS	252	59984257536	SAMN05589078	30012236595	DALHOUSIE UNIVERSITY (ANGELA FUENTES) AND UPPSALA UNIVERSITY (SANGEET LAMICHHANEY)	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2658468	Illumina HiSeq 2500	CA-4p	PAIRED	other	GENOMIC	Clupea_harengus	ILLUMINA	2017-03-24T00:00:00Z	InB	SRP102201	Model organism or animal	missing	Muscle	Population CA-4p	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Pooled DNA	1
PRJNA338612	SRR5362788	WGS	252	56152857096	SAMN05589077	28034372762	DALHOUSIE UNIVERSITY (ANGELA FUENTES) AND UPPSALA UNIVERSITY (SANGEET LAMICHHANEY)	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2658469	Illumina HiSeq 2500	CA-3p	PAIRED	other	GENOMIC	Clupea_harengus	ILLUMINA	2017-03-24T00:00:00Z	GeB	SRP102201	Model organism or animal	missing	Muscle	Population CA-3p	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Pooled DNA	1
PRJNA338612	SRR5362789	WGS	252	53920686456	SAMN05589076	26943100383	DALHOUSIE UNIVERSITY (ANGELA FUENTES) AND UPPSALA UNIVERSITY (SANGEET LAMICHHANEY)	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2658470	Illumina HiSeq 2500	CA-2p	PAIRED	other	GENOMIC	Clupea_harengus	ILLUMINA	2017-03-24T00:00:00Z	FB	SRP102201	Model organism or animal	missing	Muscle	Population CA-2p	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Pooled DNA	1
PRJNA338612	SRR5362790	WGS	252	57264831540	SAMN05589075	28089720447	DALHOUSIE UNIVERSITY (ANGELA FUENTES) AND UPPSALA UNIVERSITY (SANGEET LAMICHHANEY)	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2658471	Illumina HiSeq 2500	CA-1p	PAIRED	other	GENOMIC	Clupea_harengus	ILLUMINA	2017-03-24T00:00:00Z	BoB	SRP102201	Model organism or animal	missing	Muscle	Population CA-1p	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Pooled DNA	1
PRJNA338612	SRR5410403	WGS	299	472100970	SAMN05589091	206663885	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702521	Illumina HiSeq 2500	CA-1B.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BoBB	SRP102201	Model organism or animal	missing	Muscle	Individual CA-1B	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410407	WGS	249	99106953	SAMN05589087	44926194	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702526	Illumina HiSeq 2500	NS1.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	NS1	SRP102201	Model organism or animal	missing	Muscle	Individual NS1	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410402	WGS	299	394353114	SAMN05589092	173276986	UPPSALA UNIVERSITY	public	sra,fastq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702520	Illumina HiSeq 2500	CA-2A.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	FBA	SRP102201	Model organism or animal	missing	Muscle	Individual CA-2A	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410388	WGS	299	300710600	SAMN05589106	133608414	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702506	Illumina HiSeq 2500	PH5.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH5	SRP102201	Model organism or animal	missing	Muscle	Individual PH5	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410408	WGS	249	108139857	SAMN05589086	51264815	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702527	Illumina HiSeq 2500	BAH3.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	BAH3	SRP102201	Model organism or animal	missing	Muscle	Individual BAH3	missing	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	1
PRJNA338612	SRR5410399	WGS	299	295370326	SAMN05589095	128595585	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	SRX2702517	Illumina HiSeq 2500	CA-3B.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	GeBB	SRP102201	Model organism or animal	missing	Muscle	Individual CA-3B	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
PRJNA338612	SRR5410397	WGS	299	60707796	SAMN05589097	27845735	UPPSALA UNIVERSITY	public	fastq,sra	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702515	Illumina HiSeq 2500	CA-4B.lib	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-04-05T00:00:00Z	InBB	SRP102201	Model organism or animal	missing	Muscle	Individual CA-4B	missing	Ruzzante Lab\, Dalhousie University\, Canada	2014	Individual DNA	1
