BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	Breed	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	env_biome	env_feature	env_material
PRJDB5056	DRR066576	WGS	202	1640062240	SAMD00056765	1247206188	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060539	Illumina HiSeq 2000	library_SAMD00056765	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056765	DRP004357	MIGS.eu	missing	LCM06	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM06	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066578	WGS	202	1670415972	SAMD00056767	1273980258	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060541	Illumina HiSeq 2000	library_SAMD00056767	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056767	DRP004357	MIGS.eu	missing	LCM08	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM08	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066583	WGS	202	1039167588	SAMD00056772	792396018	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060546	Illumina HiSeq 2000	library_SAMD00056772	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056772	DRP004357	MIGS.eu	missing	LCM13	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM13	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066585	WGS	202	931599558	SAMD00056774	712130249	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060548	Illumina HiSeq 2000	library_SAMD00056774	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056774	DRP004357	MIGS.eu	missing	LCM16	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM16	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066590	WGS	202	2130496222	SAMD00056779	1620753715	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060553	Illumina HiSeq 2000	library_SAMD00056779	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056779	DRP004357	MIGS.eu	missing	LCM23	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM23	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066591	WGS	202	1333340390	SAMD00056780	1019076967	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060554	Illumina HiSeq 2000	library_SAMD00056780	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056780	DRP004357	MIGS.eu	missing	LCM24	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM24	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066595	WGS	202	2036514308	SAMD00056784	1538426001	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060558	Illumina HiSeq 2000	library_SAMD00056784	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056784	DRP004357	MIGS.eu	female	LCSf01	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf01	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066597	WGS	202	1549800560	SAMD00056786	1170710888	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060560	Illumina HiSeq 2000	library_SAMD00056786	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056786	DRP004357	MIGS.eu	female	LCSf03	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf03	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066605	WGS	202	1252180426	SAMD00056794	944478319	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060568	Illumina HiSeq 2000	library_SAMD00056794	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056794	DRP004357	MIGS.eu	male	LCSm11	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm11	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066606	WGS	202	2453492808	SAMD00056795	1852271586	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060569	Illumina HiSeq 2000	library_SAMD00056795	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056795	DRP004357	MIGS.eu	male	LCSm12	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm12	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
