BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	ref_biomaterial	env_biome	env_feature	env_material	use_species
PRJDB7125	DRR174910	WGS	302	8038107500	SAMD00131486	2976210100	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165479	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159824	DRP006642	missing	MIsaki16	2006-09	Japan	Asia	Japan:Misaki	missing	OS16	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174911	WGS	302	8244107136	SAMD00131488	3079584318	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165480	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159825	DRP006642	missing	MIsaki18	2006-09	Japan	Asia	Japan:Misaki	missing	OS18	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174912	WGS	302	8052000104	SAMD00131634	2920194970	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165481	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159826	DRP006642	missing	07Onagawa01	2007-05/2007-06	Japan	Asia	Japan:Onagawa	missing	07KN01	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174914	WGS	302	8050530874	SAMD00131636	2963878559	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165483	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159828	DRP006642	missing	07Onagawa04	2007-05/2007-08	Japan	Asia	Japan:Onagawa	missing	07KN04	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174915	WGS	302	8036824302	SAMD00131637	2980349388	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165484	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159829	DRP006642	missing	Aomori23	2009-04	Japan	Asia	Japan:Aomori	missing	AS23	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174916	WGS	302	8026452716	SAMD00131638	2988649517	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165485	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159830	DRP006642	missing	Aomori32	2009-04	Japan	Asia	Japan:Aomori	missing	AS32	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174917	WGS	302	8014302048	SAMD00131639	2965012494	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165486	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159831	DRP006642	missing	Aomori37	2009-04	Japan	Asia	Japan:Aomori	missing	AS37	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174918	WGS	302	8121007104	SAMD00131640	3051447356	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165487	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159832	DRP006642	missing	Murakami40	2007-09	Japan	Asia	Japan:Murakami	missing	MJ40	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174919	WGS	302	8017394528	SAMD00131641	2956735033	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165488	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159833	DRP006642	missing	Murakami41	2007-09	Japan	Asia	Japan:Murakami	missing	MJ41	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
PRJDB7125	DRR174920	WGS	302	8035688178	SAMD00131642	2926833347	UT-GALS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX165489	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Chaenogobius_annularis	ILLUMINA	2020-10-22T00:00:00Z	DRS159834	DRP006642	missing	Murakami49	2007-09	Japan	Asia	Japan:Murakami	missing	MJ49	Population genomics of Chaneogobius annularis	missing	missing	missing	diploid	missing	missing	missing	missing	missing	1
