BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Ecotype	birth_location
PRJNA274877	SRR1793405	WGS	200	5602966000	SAMN03333188	3983635066	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868846	Illumina HiSeq 2000	library_3918	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	3918	SRP053341	Model organism or animal	missing	muscle	missing	missing	Yanbian, Sichuan 1
PRJNA274877	SRR1793407	WGS	200	6305976600	SAMN03333190	4336716651	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868852	Illumina HiSeq 2000	library_5226	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	5226	SRP053341	Model organism or animal	missing	muscle	missing	missing	Gaoligong, Yunnan 1
PRJNA274877	SRR1793415	WGS	200	6448416000	SAMN03333191	4426403337	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868858	Illumina HiSeq 2000	library_5236	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	5236	SRP053341	Model organism or animal	missing	muscle	missing	missing	Gaoligong, Yunnan 2
PRJNA274877	SRR1793419	WGS	200	5990703200	SAMN03333193	4112068021	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868861	Illumina HiSeq 2000	library_5332	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	5332	SRP053341	Model organism or animal	missing	muscle	missing	missing	Gaoligong, Yunnan 4
PRJNA274877	SRR1793420	WGS	200	5786868000	SAMN03333194	4135688328	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868862	Illumina HiSeq 2000	library_5333	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	5333	SRP053341	Model organism or animal	missing	muscle	missing	missing	Gaoligong, Yunnan 5
PRJNA274877	SRR1793421	WGS	200	5697787200	SAMN03333195	4217235277	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868863	Illumina HiSeq 2000	library_13924	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	13924	SRP053341	Model organism or animal	missing	muscle	missing	missing	Lijiang, Yunnan 1
PRJNA274877	SRR1793422	WGS	200	5697175800	SAMN03333196	3935487754	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868864	Illumina HiSeq 2000	library_13938	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	13938	SRP053341	Model organism or animal	missing	muscle	missing	missing	Lijiang, Yunnan 2
PRJNA274877	SRR1793423	WGS	200	5443789400	SAMN03333197	3918724916	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868865	Illumina HiSeq 2000	library_13995	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	13995	SRP053341	Model organism or animal	missing	muscle	missing	missing	Lijiang, Yunnan 3
PRJNA274877	SRR1793424	WGS	200	5191404600	SAMN03333198	3705714754	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868866	Illumina HiSeq 2000	library_13996	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	13996	SRP053341	Model organism or animal	missing	muscle	missing	missing	Lijiang, Yunnan 4
PRJNA274877	SRR1793425	WGS	200	5913488200	SAMN03333199	4048044688	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868867	Illumina HiSeq 2000	library_11555	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	11555	SRP053341	Model organism or animal	missing	muscle	missing	missing	Eerguna, Inner Mongolia 1
PRJNA274877	SRR1793427	WGS	200	6683460600	SAMN03333200	4684989935	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868868	Illumina HiSeq 2000	library_11556	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	11556	SRP053341	Model organism or animal	missing	muscle	missing	missing	Eerguna, Inner Mongolia 2
PRJNA274877	SRR1793428	WGS	200	6234860400	SAMN03333201	4353097855	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868869	Illumina HiSeq 2000	library_11557	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	11557	SRP053341	Model organism or animal	missing	muscle	missing	missing	Eerguna, Inner Mongolia 3
