BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Sample_Type	Strain	Breed	Cultivar	Specimen_voucher	use_species
PRJNA533001	SRR8983021	WGS	202	29112570270	SAMN11458508	12419569072	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762347	Illumina HiSeq 2500	AC36-1	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC36-1	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 3	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983022	WGS	202	20420636116	SAMN11458507	8779830812	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762346	Illumina HiSeq 2500	AC27-4	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC27-4	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 2	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983023	WGS	202	19938922070	SAMN11458506	8668105241	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762345	Illumina HiSeq 2500	AC27-3	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC27-3	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 1	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983025	WGS	202	25179994678	SAMN11458512	11334812856	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762343	Illumina HiSeq 2500	AP08	PAIRED	RANDOM	GENOMIC	Anolis_porcatus	ILLUMINA	2019-04-29T00:00:00Z	AP08	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Anolis porcatus	not applicable	not applicable	not applicable	MCZ:Herp:R-189908	0
PRJNA533001	SRR8983026	WGS	202	30284881916	SAMN11458511	13019992232	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762342	Illumina HiSeq 2500	AC8-8	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC8-8	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 6	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983027	WGS	202	17544587992	SAMN11458510	7797351346	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762341	Illumina HiSeq 2500	AC8-13	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC8-13	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 5	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983028	WGS	202	19808015970	SAMN11458509	8757709465	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762340	Illumina HiSeq 2500	AC38-4	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC38-4	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 4	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983029	WGS	202	32674505556	SAMN11458514	14121962086	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762339	Illumina HiSeq 2500	CC-8	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	CC-8	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 2	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983030	WGS	202	31534923566	SAMN11458513	13743183042	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762338	Illumina HiSeq 2500	CC-3	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	CC-3	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 1	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983031	WGS	202	18580382988	SAMN11458504	8236124579	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762337	Illumina HiSeq 2500	AC20-1	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC20-1	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Carolinas (CA) 3	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983032	WGS	202	31036282728	SAMN11458503	13305671011	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762336	Illumina HiSeq 2500	AC13-8	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC13-8	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	South Florida (SF) 4	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983033	WGS	202	18218292534	SAMN11458496	8265020037	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762335	Illumina HiSeq 2500	18-3	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	18-3	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North West Florida (NWF) 2	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983034	WGS	202	20662843812	SAMN11458495	9367162078	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762334	Illumina HiSeq 2500	15-3	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	15-3	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North West Florida (NWF) 1	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983035	WGS	202	14002318012	SAMN11458498	6016380320	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762333	Illumina HiSeq 2500	25-4	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	25-4	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Carolinas (CA) 2	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983036	WGS	202	15789277884	SAMN11458497	6776824261	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762332	Illumina HiSeq 2500	22-4	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	22-4	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Carolinas (CA) 1	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983037	WGS	202	24703000564	SAMN11458500	11153471984	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762331	Illumina HiSeq 2500	AC13-4	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC13-4	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	South Florida (SF) 1	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983038	WGS	202	22950648140	SAMN11458499	10377928448	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762330	Illumina HiSeq 2500	AA01	PAIRED	RANDOM	GENOMIC	Anolis_allisoni	ILLUMINA	2019-04-29T00:00:00Z	AA01	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Anolis allisoni	not applicable	not applicable	not applicable	MCZ:Herp:R-191101	0
PRJNA533001	SRR8983039	WGS	202	17367047768	SAMN11458502	7307131601	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762329	Illumina HiSeq 2500	AC13-7	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC13-7	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	South Florida (SF) 3	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983040	WGS	202	22511758902	SAMN11458501	10328566745	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762328	Illumina HiSeq 2500	AC13-5	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC13-5	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	South Florida (SF) 2	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983041	WGS	202	18630215176	SAMN11458523	8096237254	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762327	Illumina HiSeq 2500	VB-7	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	VB-7	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 8	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983042	WGS	202	23701002996	SAMN11458517	10369655810	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762326	Illumina HiSeq 2500	SB-3	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	SB-3	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 3	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983043	WGS	202	20377895946	SAMN11458518	8675137743	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762325	Illumina HiSeq 2500	SB-4	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	SB-4	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 4	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983044	WGS	202	17165621246	SAMN11458515	7893648318	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762324	Illumina HiSeq 2500	LA-2	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	LA-2	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North West Florida (NWF) 3	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983046	WGS	202	21905857074	SAMN11458521	9731353258	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762322	Illumina HiSeq 2500	TX-8	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	TX-8	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Gulf Atlantic (GA) 7	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983047	WGS	202	21198240570	SAMN11458522	9320966364	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762321	Illumina HiSeq 2500	VB-6	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	VB-6	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 7	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983049	WGS	202	16004509086	SAMN11458520	7162740048	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762319	Illumina HiSeq 2500	TV-8	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	TV-8	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 6	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983045	WGS	202	16424415576	SAMN11458516	7578886471	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762323	Illumina HiSeq 2500	LJ-1	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	LJ-1	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North West Florida (NWF) 4	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983048	WGS	202	31696144412	SAMN11458519	13644812092	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762320	Illumina HiSeq 2500	TV-2	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	TV-2	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	North East Florida (NEF) 5	not applicable	not applicable	not applicable	NA	1
PRJNA533001	SRR8983024	WGS	202	28462029472	SAMN11458505	11848025949	NEW YORK UNIVERSITY ABU DHABI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5762344	Illumina HiSeq 2500	AC20-6	PAIRED	RANDOM	GENOMIC	Anolis_carolinensis	ILLUMINA	2019-04-29T00:00:00Z	AC20-6	SRP194074	Model organism or animal	not collected	liver	not applicable	adult	not applicable	Carolinas (CA) 4	not applicable	not applicable	not applicable	NA	1
