BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Sample_Name	Strain	Breed	Cultivar	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	env_biome	env_feature	env_material	use_species
PRJNA396570	SRR11303958	WGS	272	6913383495	SAMN14374552	2737296174	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909220	NextSeq 500	Gvar_RTK438_L4	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	NA	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA396570	SRR11303959	WGS	272	7060543392	SAMN14374552	2833042475	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909219	NextSeq 500	Gvar_RTK438_L3	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	NA	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA396570	SRR11303962	WGS	271	6632185083	SAMN14374552	2724349172	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909216	NextSeq 500	Gvar_RTK438_L2	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	NA	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA396570	SRR11303963	WGS	271	6745067159	SAMN14374552	2798723657	UNIVERSITY OF FLORIDA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX7909215	NextSeq 500	Gvar_RTK438_L1	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2020-03-14T00:00:00Z	Gvar_RTK438	SRP128936	Model organism or animal	male	blood	RTK438	adult	not collected	not collected	2017	uncalculated	uncalculated	not collected	RT Kimball	not collected	NA	not applicable	not applicable	not applicable	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJDB4092	DRR089959	WGS	200	7312871600	SAMD00077843	4016436993	TUAGRI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX083685	Illumina HiSeq 2500	01_1_GJFj_18	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2017-04-04T00:00:00Z	SAMD00077843	DRP003109	MIGS.eu	NA	NA	GJFj_18	NA	NA	NA	missing	Indonesia	Asia	Indonesia:Java	NA	missing	01_1_GJFj_18	NA	NA	NA	Genome resequencing project of red and green junglefowls and Indonesian native chickens Sumatra and Kedu Hitam	missing	missing	missing	diploid	sexual	missing	missing	missing	1
PRJDB4092	DRR089960	WGS	200	6532706000	SAMD00077844	3500119400	TUAGRI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX083686	Illumina HiSeq 2500	01_2_GJFj_19	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2017-04-04T00:00:00Z	SAMD00077844	DRP003109	MIGS.eu	NA	NA	GJFj_19	NA	NA	NA	missing	Indonesia	Asia	Indonesia:Java	NA	missing	01_2_GJFj_19	NA	NA	NA	Genome resequencing project of red and green junglefowls and Indonesian native chickens Sumatra and Kedu Hitam	missing	missing	missing	diploid	sexual	missing	missing	missing	1
PRJDB4092	DRR089962	WGS	200	9012917600	SAMD00077846	4854697256	TUAGRI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX083688	Illumina HiSeq 2500	01_2_GJFm_703	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2017-04-04T00:00:00Z	SAMD00077846	DRP003109	MIGS.eu	NA	NA	GJFm_703	NA	NA	NA	missing	Indonesia	Asia	Indonesia:Madura	NA	missing	01_2_GJFm_703	NA	NA	NA	Genome resequencing project of red and green junglefowls and Indonesian native chickens Sumatra and Kedu Hitam	missing	missing	missing	diploid	sexual	missing	missing	missing	1
PRJDB4092	DRR089963	WGS	200	6489960800	SAMD00077847	3505882691	TUAGRI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX083689	Illumina HiSeq 2500	01_2_GJFm_704	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2017-04-04T00:00:00Z	SAMD00077847	DRP003109	MIGS.eu	NA	NA	GJFm_704	NA	NA	NA	missing	Indonesia	Asia	Indonesia:Madura	NA	missing	01_2_GJFm_704	NA	NA	NA	Genome resequencing project of red and green junglefowls and Indonesian native chickens Sumatra and Kedu Hitam	missing	missing	missing	diploid	sexual	missing	missing	missing	1
PRJDB4092	DRR089964	WGS	200	8636100400	SAMD00077848	4675321182	TUAGRI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX083690	Illumina HiSeq 2500	01_2_GJFm_706	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2017-04-04T00:00:00Z	SAMD00077848	DRP003109	MIGS.eu	NA	NA	GJFm_706	NA	NA	NA	missing	Indonesia	Asia	Indonesia:Madura	NA	missing	01_2_GJFm_706	NA	NA	NA	Genome resequencing project of red and green junglefowls and Indonesian native chickens Sumatra and Kedu Hitam	missing	missing	missing	diploid	sexual	missing	missing	missing	1
PRJDB4092	DRR089965	WGS	200	5818038000	SAMD00077849	3125646490	TUAGRI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX083691	Illumina HiSeq 2500	01_2_GJFm_710	PAIRED	RANDOM	GENOMIC	Gallus_varius	ILLUMINA	2017-04-04T00:00:00Z	SAMD00077849	DRP003109	MIGS.eu	NA	NA	GJFm_710	NA	NA	NA	missing	Indonesia	Asia	Indonesia:Madura	NA	missing	01_2_GJFm_710	NA	NA	NA	Genome resequencing project of red and green junglefowls and Indonesian native chickens Sumatra and Kedu Hitam	missing	missing	missing	diploid	sexual	missing	missing	missing	1
