Sample,Total_Reads,Percent_mapped,Num_duplicates,Percent_properly_paired,Fraction_reads_pass_filter,NumReadsPassingFilters,File
SAMEA6816021 , 119713714 , 99.77 ,11101180.0, 97.58 , 0.9336643430081328 , 118882366,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816012 , 156267462 , 99.72 ,40685193.0, 97.56 , 0.9667100045321032 , 155271594,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816013 , 187039369 , 99.66 ,54637205.0, 97.49 , 0.9708411073403129 , 185888306,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816014 , 97004980 , 99.7 ,20334006.0, 97.42 , 0.9770570807989701 , 96345586,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816015 , 114234474 , 99.57 ,8642086.0, 97.36 , 0.9365696690836486 , 113359746,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816016 , 125342929 , 99.69 ,13810615.0, 97.76 , 0.9103776715033277 , 124376808,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816017 , 129927794 , 99.43 ,9261829.0, 97.64 , 0.9025516397520057 , 129016042,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816018 , 121257305 , 99.61 ,9072260.0, 97.58 , 0.9149340522504443 , 120332154,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816019 , 137894564 , 99.75 ,12206530.0, 97.48 , 0.9133552069814532 , 136771930,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816020 , 149281628 , 99.62 ,14504476.0, 97.71 , 0.9386127395819513 , 148183582,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816022 , 100339829 , 99.8 ,9974305.0, 97.85 , 0.9448190346168337 , 99617490,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816023 , 195042104 , 99.67 ,34462951.0, 97.35 , 0.9727289695224519 , 193787540,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816024 , 178796515 , 99.62 ,38109193.0, 97.3 , 0.9710302143643307 , 177667398,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816025 , 22370664 , 99.75 ,3358836.0, 97.49 , 0.9743507769363465 , 22236080,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816026 , 47017177 , 99.74 ,8239024.000000001, 97.51 , 0.9770150635418097 , 46728866,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816028 , 174847290 , 99.8 ,33749382.0, 97.49 , 0.9694420936940492 , 173735926,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816029 , 192022613 , 99.69 ,42404463.0, 97.37 , 0.9743807788508394 , 190786666,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816030 , 141359187 , 99.75 ,21490026.0, 97.44 , 0.9769368731822149 , 140433808,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816031 , 42795445 , 99.75 ,639412.0, 97.5 , 0.95441796921655 , 42528042,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6816027 , 94579713 , 99.8 ,18591296.0, 97.66 , 0.9697492566351849 , 93985596,sumstats/Amphilophus_amarillo_GCA_013435755.1_bam_sumstats.txt
SAMEA6815653 , 127032261 , 99.79 ,11075544.0, 97.57 , 0.9191855790114827 , 126168784,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815654 , 122839069 , 99.81 ,8024640.999999999, 97.32 , 0.9342740500940434 , 121708570,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815655 , 119072774 , 99.83 ,31616907.000000004, 97.76 , 0.9208243198488434 , 118055258,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815657 , 121686346 , 99.8 ,10941695.0, 97.62 , 0.9166068900229816 , 120728618,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815658 , 104232127 , 99.83 ,10007652.0, 97.77 , 0.9169306923271083 , 103482126,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815659 , 197648493 , 99.75 ,38688711.0, 97.73 , 0.9783865910857873 , 196353354,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815660 , 196436789 , 99.7 ,47538115.0, 97.04 , 0.976008134353623 , 195047238,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
