BioSample,refGenome,Organism,,BioSample,refGenome,Run,Organism,BioProject,LibraryName,,,,
SAMN03333188,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333188,,,,
SAMN03333190,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333190,,,,
SAMN03333191,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333191,,,,
SAMN03333193,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333193,,,,
SAMN03333194,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333194,,,,
SAMN03333195,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333195,,,,
SAMN03333196,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333196,,,,
SAMN03333197,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333197,,,,
SAMN03333198,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333198,,,,
SAMN03333199,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333199,,,,
SAMN03333200,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333200,,,,
SAMN03333201,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333201,,,,
SAMN03333202,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333202,,,,
SAMN03333203,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333203,,,,
SAMN03333204,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333204,,,,
SAMN03333205,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333205,,,,
SAMN03333206,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333206,,,,
SAMN03333207,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333207,,,,
SAMN03333208,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333208,,,,
SAMN03333209,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333209,,,,
SAMN03333210,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333210,,,,
SAMN03333211,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333211,,,,
SAMN03333212,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333212,,,,
SAMN03333214,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333214,,,,
SAMN03333215,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333215,,,,
SAMN03333216,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333216,,,,
SAMN03333217,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333217,,,,
SAMN03333218,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333218,,,,
